#%info
#%EC station description
#   Kapiti = "The Savanna site in Kenya"

#   author  = ""
#   contact = ""
#   date    = "2021-05-10"
#   comments = ""
#
#%abbreviations
#   NEE = "Co2 flux"
#   H2O = "H2O flux"
#   LE = "Latent heat flux"
#   H = "sensible heat flux"
#   ET = "Evapotranspiration"
#   LAI = "LAI"
#%units
#   NEE = "micromolm-2s-1"
#   H2O = "mmol+1s-1m-2"
#   LE = "W+1m-2"
#   H = "W+1m-2"
#   ET = "mm+1hour-1"
#   LAI = "m2 m-2"
#

#%data
datetime	nee	h2o	LE	H	ET LAI
2019-02-25	0.310682401	0.472462746	20.37065825	80.95079604	0.029989237	0.6
2019-02-26	0.203656486	0.386536523	16.53042765	81.10836181	0.024486018	-99.99
2019-02-27	0.472458434	0.469749427	20.19354598	77.95679677	0.029878215	-99.99
2019-02-28	0.891242913	0.632049864	27.33782242	75.34225092	0.04039528	-99.99
2019-03-01	1.140885177	0.777774063	33.73789087	74.99333104	0.049838213	0.6
2019-03-02	1.215737187	0.855261074	37.15914844	73.68768034	0.054896777	-99.99
2019-03-03	1.213658309	0.957342291	41.64368493	72.20382155	0.061511642	-99.99
2019-03-04	1.183592693	1.025149868	44.62645586	70.46952554	0.065905577	-99.99
2019-03-05	1.13195115	1.091475445	47.73578239	68.76227481	0.070481742	0.5
2019-03-06	1.101050269	1.141120878	49.94771574	66.9892779	0.073734721	-99.99
2019-03-07	1.135382212	1.189956084	52.16774984	71.07037535	0.077007862	-99.99
2019-03-08	1.065861684	1.227177449	53.96650806	72.15656248	0.079521111	-99.99
2019-03-09	0.775847225	1.121479456	49.31320507	74.70909399	0.072671883	0.5
2019-03-10	0.325704588	0.944595602	41.52496635	78.36106914	0.061209814	-99.99
2019-03-11	0.049508962	0.79651894	35.01792587	79.61123111	0.051614442	-99.99
2019-03-12	-0.12062936	0.667394065	29.34652072	82.33644619	0.043247148	-99.99
2019-03-13	-0.102914667	0.566297754	24.87825759	84.35471802	0.036655763	0.3
2019-03-14	-0.042021596	0.502364997	22.06396188	85.79749549	0.032512916	-99.99
2019-03-15	-0.008240812	0.431820274	18.95840378	87.87451569	0.027941622	-99.99
2019-03-16	0.051174682	0.383928877	16.777209	89.14751336	0.0247327	-99.99
2019-03-17	0.029100184	0.338505937	14.77949957	89.27014696	0.021789289	0.5
2019-03-18	0.044340373	0.30085845	13.12396169	89.85257112	0.019349732	-99.99
2019-03-19	0.069824827	0.287185791	12.37615762	90.01691804	0.018252454	-99.99
2019-03-20	0.108020166	0.277133825	11.93030384	88.10558743	0.017601084	-99.99
2019-03-21	0.123399596	0.275738775	11.86468936	89.44863093	0.017510688	0.4
2019-03-22	0.133686399	0.260384871	11.19017474	89.10837932	0.016515756	-99.99
2019-03-23	0.09511681	0.243432296	10.47293671	89.86824445	0.01545757	-99.99
2019-03-24	0.055316085	0.225949928	9.704998382	89.88525018	0.014324713	-99.99
2019-03-25	0.080541881	0.221839549	9.524821976	88.4992912	0.01405836	0.4
2019-03-26	0.326019729	0.330068028	14.36319079	85.98395218	0.021177128	-99.99
2019-03-27	0.330972975	0.362038392	15.77254681	85.85786008	0.023248808	-99.99
2019-03-28	0.362880907	0.374125457	16.3039834	84.32103642	0.02403205	-99.99
2019-03-29	0.351150656	0.378445166	16.62468966	84.63410853	0.024507317	0.3
2019-03-30	0.341510955	0.367050531	16.12576552	85.60783084	0.023768946	-99.99
2019-03-31	0.310789726	0.349562736	15.36121707	84.48136635	0.022635734	-99.99
2019-04-01	0.335533254	0.351402572	15.44360249	84.39348879	0.022754956	-99.99
2019-04-02	0.347835729	0.347187822	15.24884715	83.32875462	0.022469385	0.4
2019-04-03	0.333269733	0.34612328	15.20148311	82.27867949	0.022400404	-99.99
2019-04-04	0.352205667	0.357699959	15.71021026	82.4845944	0.023147418	-99.99
2019-04-05	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-04-06	-99.99	-99.99	-99.99	-99.99	-99.99	0.5
2019-04-07	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-04-08	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-04-09	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-04-10	-99.99	-99.99	-99.99	-99.99	-99.99	0.4
2019-04-11	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-04-12	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-04-13	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-04-14	-99.99	-99.99	-99.99	-99.99	-99.99	0.7
2019-04-15	-99.99	-99.99	-99.99	-99.99	-99.99	0.3
2019-04-16	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-04-17	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-04-18	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-04-19	-99.99	-99.99	-99.99	-99.99	-99.99	0.4
2019-04-20	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
