%global
       time = "2008-01-01/1"

%climate
        id = 0

%attributes
        elevation = "719"
        latitude = "47.48"
        longitude = "11.06"

%data
prec	tavg	tmax	tmin	grad	wind
0	0.429166667	2	-1.5	59.56887821	1.1
0	1.7375	8.5	-4.6	184.4930871	1.4
3	1.3625	4.1	-0.3	61.61535042	1.4
4.9	0.6125	5.2	-4.5	129.6536874	1.5
0	0.716666667	8.6	-6.4	189.4185655	1.4
0.6	1.6375	3.9	-1	30.49510002	0.9
0	5.233333333	11.3	1.3	168.5960181	1.6
0	5.733333333	12.2	0.1	192.0802456	1.9
0	6.8125	15.2	0.3	211.2764018	1.6
0	6.641666667	17.7	-2.2	201.0830719	1.8
0	8.029166667	20.7	-1.8	220.1994498	1.4
0	9.058333333	18.8	-0.5	185.7999766	1.5
3.9	8.85	18.4	1	205.1864455	2.2
9.8	2.891666667	4.6	1.4	61.66428175	1.6
0.4	5.883333333	12.6	0.2	227.2186327	1.5
0	6.066666667	15.2	-1.7	220.878017	2
0	7.65	17.3	-0.9	226.7816714	2
0	8.4625	17.6	-0.2	225.6438247	1.8
0.8	6.770833333	13.7	0.2	118.150366	1.4
0	7.5	15.7	0	186.7827431	1.8
0	7.866666667	15.8	0.5	235.764772	2.2
0	7.191666667	15.3	-0.7	231.6403531	2.2
0	9.670833333	19.1	-0.5	243.976479	2.1
0	10.7625	17.4	3.8	160.214586	2.1
2.9	8.154166667	11	6	70.25322592	1.7
2.2	9.220833333	17.1	1.5	239.1105394	2.3
1.4	2.858333333	8.2	-1.5	160.0449741	2.3
0	6.0375	15	-2.7	254.304406	2
0	9.166666667	16	1.4	177.9931666	2.1
0	9.4	16.5	0.8	180.8436029	2.5
7.8	8.604166667	10.8	6.9	59.10160208	2.1
6.9	6.766666667	8.5	5.7	59.43321804	1.6
10	4.575	8.8	1.4	69.46327379	1.5
6.5	-0.920833333	1.4	-5.2	100.5319143	1.9
0	1.554166667	9.5	-7.1	208.1115083	1.2
0	10.9625	19.6	3.2	206.317154	1.7
10.7	4.65	9.6	2.7	52.55055942	1.5
0	6.983333333	14.8	0.7	243.0850294	1.8
2.1	5.4	6.5	4.6	84.40247538	2.4
0.9	6.091666667	8.4	4.6	37.16477574	2.3
10.6	5.833333333	7	4.4	44.07740158	2.2
9.6	2.695833333	4.3	1.6	60.24471229	2
1.2	4.3	9.6	0.8	241.5359516	1.9
1.3	4.266666667	9	-0.4	117.9397473	1.7
0	7.925	15.3	-0.2	229.0209524	1.8
5.9	5.254166667	8.3	2.4	93.51327725	1.2
0.3	7.741666667	15	-0.6	274.3582286	1.7
9	4.954166667	9.7	0.2	121.5596721	1.4
0	6.483333333	13.2	-0.8	243.5646316	1.9
13.5	3.225	8.4	0.6	78.52657638	1.2
0	9.058333333	17.9	-0.4	268.0348627	1.7
0	16.08333333	24.6	7.1	309.4915337	2.8
0	17.32083333	28.1	5.6	294.9370885	1.8
0	19.30833333	28.6	9.4	308.735011	2.2
0	20.00833333	26.2	12.8	256.2569542	2.8
0	16.6875	24.8	7.1	272.1516473	2
0	13.66666667	18.5	8.3	164.9278137	2.2
2.6	16.47916667	23.5	9.7	288.6318108	2.7
1.7	12.68333333	17.6	8.5	198.1929608	1.8
0	13.39166667	21.1	4.7	282.8825274	1.9
4.5	9.620833333	14.7	6	131.0937069	1.8
7.9	7.695833333	10.1	5	72.25896817	1
0	10.10833333	16	4.7	206.7271138	1.8
0	13.2375	21.3	2.8	279.286392	2
1	14.07916667	20.2	7.2	192.191506	1.5
0	17.55416667	27	7.6	320.2184601	1.6
0	19.6	29.4	8.5	316.6824328	1.4
13.8	10.05	15.2	6.3	38.18885996	1.9
2.8	6.65	9.6	4	117.345546	1.8
0	7.316666667	14.1	-0.2	358.1319095	2.1
7.5	8.691666667	17.9	0	263.399675	2.1
17.2	2.820833333	5.5	0.4	86.68623996	1.5
1.7	6.308333333	13.6	0.6	352.4878299	1.5
0	11.6875	18.9	0.5	229.5363785	2.1
0	15.2125	23.9	5.2	303.1199387	1.9
