*,*,date,tavg,tmin,tmax,grad,prec,rh,wind
2023,65,5-Mar-23,21.37152778,15.2,28.5,290.5486111,0,55,4.299097222
2023,66,6-Mar-23,21.72534722,15.1,28.6,298.3381944,0,55,4.238125
2023,67,7-Mar-23,21.328125,14.6,29,305.6055556,0,55,4.292291667
2023,68,8-Mar-23,21.65868056,15.2,28.8,298.45625,0,55,3.8115625
2023,69,9-Mar-23,22.546875,16,29.9,289.6222222,0,55,3.822361111
2023,70,10-Mar-23,21.91284722,15.1,28.9,290.9631944,0,55,3.761631944
2023,71,11-Mar-23,21.36041667,17.1,26.8,278.9013889,0,55,4.27125
2023,72,12-Mar-23,21.39513889,16,28.1,283.4854167,0,55,3.852534722
2023,73,13-Mar-23,21.47673611,16,28.4,296.1986111,0,55,4.042152778
2023,74,14-Mar-23,21.37118056,16.1,27.8,282.8805556,0,55,4.118090278
2023,75,15-Mar-23,21.37847222,15.6,26.6,178.3395833,0,55,3.473263889
2023,76,16-Mar-23,18.59723183,14.9,23.5,165.7397924,10.836,55,2.356574394
2023,77,17-Mar-23,20.40694444,15.8,26.4,280.7979167,0.017,55,3.949895833
2023,78,18-Mar-23,20.75902778,13.8,26.6,278.4395833,0,55,3.407152778
2023,79,19-Mar-23,21.42638889,16.2,27.3,287.7590278,0,55,3.954722222
2023,80,20-Mar-23,20.61631944,15.2,27.1,227.4034722,0.017,55,3.263055556
2023,81,21-Mar-23,18.77847222,15.5,25.4,132.9881944,12.47,55,2.661180556
2023,82,22-Mar-23,19.94097222,16.2,25.2,189.5993056,2.38,55,2.703368056
2023,83,23-Mar-23,20.41770833,14.6,27.4,257.4055556,11.23,55,3.563090278
2023,84,24-Mar-23,20.44305556,16.1,25.6,243.6013889,5.702,55,2.159305556
2023,85,25-Mar-23,18.76180556,15.2,21.7,138.04375,12.464,55,2.064305556
2023,86,26-Mar-23,18.73611111,14.5,22.4,184.1666667,12.772,55,2.333715278
2023,87,27-Mar-23,20.31840278,14.6,25.6,291.0083333,0.017,55,2.567361111
2023,88,28-Mar-23,20.86979167,16.9,27.1,271.5979167,0.085,55,2.865486111
2023,89,29-Mar-23,20.396875,16.6,26.1,254.6055556,0,55,3.006493056
2023,90,30-Mar-23,20.87638889,16.6,25.9,256.4180556,0.034,55,3.801145833
2023,91,31-Mar-23,19.90243056,16.4,25.7,243.7256944,0.068,55,3.0971875
2023,92,1-Apr-23,21.27118056,15.9,27.3,280.0222222,0,55,2.002777778
2023,93,2-Apr-23,21.30833333,15,27.3,255.5572917,0.017,55,2.387743056
2023,94,3-Apr-23,20.62430556,16.3,27.1,223.6,0,55,3.167743056
2023,95,4-Apr-23,19.30173611,14.3,25,297.4895833,6.178,55,3.420034722
2023,96,5-Apr-23,19.77708333,16.4,25,233.5631944,0.748,55,3.157118056
2023,97,6-Apr-23,18.790625,16,23.4,189.9576389,5.547,55,2.873229167
2023,98,7-Apr-23,20.10451389,15.7,25.4,288.0645833,3.659,55,3.026319444
2023,99,8-Apr-23,17.79756944,15.9,21.3,137.1763889,10.11,55,3.162881944
2023,100,9-Apr-23,18.52048611,14.9,23.4,234.6069444,1.207,55,2.912708333
2023,101,10-Apr-23,19.59131944,15.5,24.9,268.5354167,0.204,55,3.165243056
2023,102,11-Apr-23,18.99930556,16.2,22.8,204.4298611,0.017,55,3.567326389
2023,103,12-Apr-23,18.88090278,15.9,23.1,222.5708333,3.317,55,3.045763889
2023,104,13-Apr-23,19.09618056,15.5,23.1,265.4472222,14.935,55,3.433298611
2023,105,14-Apr-23,17.62465278,15.7,22,152.4027778,30.494,55,2.339270833
2023,106,15-Apr-23,18.50763889,15.8,23.3,220.5215278,0.221,55,2.8728125
2023,107,16-Apr-23,18.69826389,15.3,23.4,255.0381944,1.785,55,2.690520833
2023,108,17-Apr-23,19.35138889,16.5,23.9,234.2763889,0.034,55,2.900833333
2023,109,18-Apr-23,19.34722222,15.9,24.1,216.3347222,2.142,55,2.673819444
2023,110,19-Apr-23,19.17083333,15.2,24.8,231.9027778,0.204,55,2.529201389
2023,111,20-Apr-23,19.36840278,14.2,25,248.5666667,0.187,55,2.2234375
2023,112,21-Apr-23,20.24722222,16.8,26.1,257.0763889,1.241,55,2.2125
2023,113,22-Apr-23,17.84895833,16.4,19.7,79.28958333,18.979,55,2.189826389
2023,114,23-Apr-23,19.17118056,14.7,24.6,247.5916667,0.051,55,1.993125
2023,115,24-Apr-23,20.178125,16.8,24.9,253.2513889,0.136,55,2.147048611
2023,116,25-Apr-23,18.81770833,15.7,23.7,189.5131944,5.542,55,1.891979167
2023,117,26-Apr-23,18.24270833,16.1,22.9,133.76875,41.222,55,
2023,118,27-Apr-23,18.99861111,15.1,23.5,217.1881944,0.153,55,2.001770833
2023,119,28-Apr-23,17.69618056,16.5,20.4,101.6541667,12.435,55,1.594513889
2023,120,29-Apr-23,17.96944444,15,22.4,141.9090278,0.068,55,1.622951389
2023,121,30-Apr-23,18.50486111,16.3,23.4,187.2777778,13.498,55,
